Date,Open,High,Low,Close,Volume
11/02/2023,"129.56","130.09","128.11","128.58","24,091,670"
11/03/2023,"129.09","130.73","129.01","130.37","19,529,449"
11/06/2023,"130.22","131.56","129.93","131.45","15,360,360"
11/07/2023,"131.98","133.28","131.14","132.40","19,223,789"
11/08/2023,"132.36","133.54","132.16","133.26","15,093,600"
11/09/2023,"133.36","133.96","131.51","131.69","17,976,529"
11/10/2023,"131.53","134.27","130.87","134.06","20,879,840"
11/13/2023,"133.36","134.11","132.77","133.64","16,409,859"
11/14/2023,"135.65","137.24","135.10","135.43","22,317,350"
11/15/2023,"136.64","136.84","135.33","136.38","15,840,880"
11/16/2023,"136.96","138.88","136.08","138.70","17,615,070"
11/17/2023,"137.82","138.00","135.48","136.94","25,590,189"
11/20/2023,"135.50","138.43","135.49","137.92","19,589,010"
11/21/2023,"137.94","138.97","137.71","138.62","17,648,070"
11/22/2023,"139.10","141.10","139.00","140.02","17,310,211"
11/24/2023,"139.54","139.68","137.47","138.22","8,828,640"
11/27/2023,"137.57","139.63","137.54","138.05","17,886,391"
11/28/2023,"137.63","138.66","137.04","138.62","17,046,869"
11/29/2023,"138.99","139.67","136.30","136.40","21,014,721"
11/30/2023,"136.40","136.96","132.79","133.92","29,913,529"
12/01/2023,"133.32","133.50","132.15","133.32","24,267,990"
12/04/2023,"131.29","131.45","129.40","130.63","24,117,080"
12/05/2023,"130.37","133.54","129.73","132.39","19,235,150"
12/06/2023,"132.90","133.31","131.31","131.43","16,360,650"
12/07/2023,"136.60","140.00","136.23","138.45","38,419,434"
12/08/2023,"135.66","137.99","135.57","136.64","23,016,141"
12/11/2023,"133.82","134.79","132.89","134.70","24,502,859"
12/12/2023,"133.27","134.54","132.83","133.64","26,583,980"
12/13/2023,"134.55","134.78","132.95","133.97","25,414,461"
12/14/2023,"134.77","135.04","131.06","133.20","29,619,100"
12/15/2023,"132.92","134.83","132.63","133.84","58,594,000"
12/18/2023,"133.86","138.38","133.77","137.19","25,699,770"
12/19/2023,"138.00","138.77","137.45","138.10","20,661,000"
12/20/2023,"140.33","143.08","139.41","139.66","33,507,340"
12/21/2023,"140.77","142.03","140.47","141.80","18,101,480"
12/22/2023,"142.13","143.25","142.06","142.72","18,513,520"
12/26/2023,"142.98","143.95","142.50","142.82","11,170,070"
12/27/2023,"142.83","143.32","141.05","141.44","17,288,359"
12/28/2023,"141.85","142.27","140.83","141.28","12,192,550"
12/29/2023,"140.68","141.44","139.90","140.93","14,880,960"
01/02/2024,"139.60","140.61","137.74","139.56","20,071,891"
01/03/2024,"138.60","141.09","138.43","140.36","18,974,311"
01/04/2024,"139.85","140.64","138.01","138.04","18,253,330"
01/05/2024,"138.35","138.81","136.85","137.39","15,439,480"
01/08/2024,"138.00","140.64","137.88","140.53","17,645,289"
01/09/2024,"140.06","142.80","139.79","142.56","19,579,670"
01/10/2024,"142.52","144.53","142.46","143.80","16,641,881"
01/11/2024,"144.90","146.66","142.22","143.67","17,471,131"
01/12/2024,"144.34","144.74","143.36","144.24","13,998,730"
01/16/2024,"143.43","145.84","143.06","144.08","19,198,939"
01/17/2024,"142.91","143.41","140.51","142.89","17,884,551"
01/18/2024,"143.44","145.59","143.35","144.99","18,876,801"
01/19/2024,"146.31","148.04","145.80","147.97","27,181,029"
01/22/2024,"148.71","150.02","147.58","147.71","21,829,230"
01/23/2024,"147.72","148.86","147.19","148.68","14,113,650"
01/24/2024,"150.29","151.57","149.84","150.35","19,245,029"
01/25/2024,"151.74","154.76","151.22","153.64","21,495,119"
01/26/2024,"152.87","154.11","152.80","153.79","19,494,490"
01/29/2024,"153.64","155.20","152.92","154.84","20,909,260"
01/30/2024,"154.01","155.04","152.78","153.05","26,578,930"
01/31/2024,"145.39","145.59","141.55","141.80","43,908,578"
02/01/2024,"143.69","144.62","142.26","142.71","25,526,859"
02/02/2024,"140.89","143.88","138.17","143.54","42,136,129"
02/05/2024,"144.04","146.67","143.91","144.93","29,254,439"
02/06/2024,"145.96","146.74","144.52","145.41","21,517,660"
02/07/2024,"146.12","147.00","145.21","146.68","21,436,131"
02/08/2024,"146.97","147.61","146.42","147.22","18,241,320"
02/09/2024,"147.95","150.70","147.43","150.22","21,877,689"
02/12/2024,"149.54","150.59","148.56","148.73","17,236,109"
02/13/2024,"146.07","148.04","145.11","146.37","18,138,480"
02/14/2024,"147.37","147.83","145.56","147.14","16,651,820"
02/15/2024,"144.46","144.76","141.88","143.94","26,724,311"
02/16/2024,"144.21","144.48","141.52","141.76","21,865,119"
02/20/2024,"140.94","143.33","140.80","142.20","18,625,590"
02/21/2024,"142.64","143.98","141.91","143.84","16,499,580"
02/22/2024,"146.12","146.20","144.01","145.32","23,024,711"
02/23/2024,"144.97","145.96","144.79","145.29","14,519,430"
02/26/2024,"143.45","143.84","138.74","138.75","33,513,012"
02/27/2024,"139.41","140.49","138.50","140.10","22,363,980"
02/28/2024,"139.10","139.28","136.64","137.43","30,628,699"
02/29/2024,"138.35","139.95","137.57","139.78","35,485,008"
03/01/2024,"139.61","140.00","137.98","138.08","28,551,529"
03/04/2024,"136.54","136.63","132.86","134.20","43,571,512"
03/05/2024,"132.74","134.02","131.55","133.78","28,447,551"
03/06/2024,"134.24","134.74","131.95","132.56","23,175,199"
03/07/2024,"133.89","135.82","132.66","135.24","24,107,279"
03/08/2024,"135.04","138.99","134.80","136.29","26,495,160"
03/11/2024,"137.07","139.98","137.07","138.94","22,536,369"
03/12/2024,"138.25","140.28","138.21","139.62","19,019,699"
03/13/2024,"140.06","142.19","140.01","140.77","19,637,000"
03/14/2024,"142.30","144.73","141.49","144.34","36,117,910"
03/15/2024,"143.41","144.34","141.13","142.17","41,039,488"
03/18/2024,"149.37","152.93","148.14","148.48","47,676,688"
03/19/2024,"148.98","149.62","147.01","147.92","17,748,369"
03/20/2024,"148.79","149.76","147.67","149.68","17,730,000"
03/21/2024,"150.32","151.31","148.01","148.74","19,843,920"
03/22/2024,"150.24","152.56","150.09","151.77","19,252,930"
03/25/2024,"150.95","151.46","148.80","151.15","15,114,730"
03/26/2024,"151.24","153.20","151.03","151.70","19,312,689"
03/27/2024,"152.15","152.69","150.13","151.94","16,621,961"
03/28/2024,"152.00","152.67","151.33","152.26","21,105,631"
04/01/2024,"151.83","157.00","151.65","156.50","24,469,820"
04/02/2024,"154.75","155.99","153.46","155.87","17,598,061"
04/03/2024,"154.92","156.55","154.13","156.37","17,266,180"
04/04/2024,"155.08","156.18","151.88","151.94","24,184,840"
04/05/2024,"151.68","154.84","151.08","153.94","16,297,320"
04/08/2024,"154.02","156.66","153.99","156.14","16,641,529"
04/09/2024,"157.35","159.89","156.64","158.14","21,538,141"
04/10/2024,"157.88","158.16","156.20","157.66","16,339,170"
04/11/2024,"158.34","161.12","157.93","160.79","17,841,699"
04/12/2024,"159.41","161.70","158.60","159.19","16,989,770"
04/15/2024,"160.28","160.83","156.15","156.33","21,140,949"
04/16/2024,"155.64","157.23","155.05","156.00","15,413,200"
04/17/2024,"157.19","158.68","156.14","156.88","16,237,750"
04/18/2024,"156.93","158.49","156.21","157.46","14,016,070"
04/19/2024,"157.75","157.99","153.91","155.72","21,479,881"
04/22/2024,"156.01","159.19","155.66","157.95","17,243,869"
04/23/2024,"158.59","160.48","157.97","159.92","16,115,410"
04/24/2024,"159.09","161.39","158.82","161.10","19,485,689"
04/25/2024,"153.36","158.28","152.77","157.95","36,197,793"
04/26/2024,"175.99","176.42","171.40","173.69","56,500,793"
04/29/2024,"170.77","171.38","167.06","167.90","35,914,559"
04/30/2024,"167.38","169.87","164.50","164.64","29,420,760"
05/01/2024,"166.18","168.81","164.90","165.57","25,223,250"
05/02/2024,"166.67","168.53","165.69","168.46","17,041,119"
05/03/2024,"169.54","169.85","164.98","168.99","22,767,061"
05/06/2024,"169.22","169.90","167.89","169.83","15,147,910"
05/07/2024,"170.12","173.47","170.00","172.98","21,102,430"
05/08/2024,"170.75","171.91","170.52","171.16","14,569,860"
05/09/2024,"171.15","172.44","169.93","171.58","11,937,700"
05/10/2024,"169.69","171.34","167.91","170.29","18,740,461"
05/13/2024,"165.85","170.95","165.76","170.90","19,648,590"
05/14/2024,"171.59","172.78","170.42","171.93","18,729,461"
05/15/2024,"172.30","174.05","172.03","173.88","20,958,250"
05/16/2024,"174.60","176.34","174.05","175.43","17,247,311"
05/17/2024,"175.55","177.50","174.98","177.29","16,546,350"
05/20/2024,"177.31","179.95","177.23","178.46","17,495,119"
05/21/2024,"178.40","179.82","177.31","179.54","14,706,020"
05/22/2024,"178.40","178.85","176.78","178.00","16,189,400"
05/23/2024,"178.78","179.91","174.54","175.06","14,928,360"
05/24/2024,"176.52","177.30","175.20","176.33","11,403,560"
05/28/2024,"175.74","178.51","175.68","178.02","15,655,340"
05/29/2024,"176.81","178.23","176.26","177.40","15,023,850"
05/30/2024,"176.69","176.69","173.23","173.56","18,844,039"
05/31/2024,"173.40","174.42","170.97","173.96","28,085,150"
06/03/2024,"173.88","175.86","172.45","174.42","20,742,801"
06/04/2024,"174.45","175.19","173.22","175.13","14,066,600"
06/05/2024,"176.54","177.97","175.29","177.07","15,233,860"
06/06/2024,"177.43","178.71","177.21","178.35","14,255,820"
06/07/2024,"178.46","179.42","175.79","175.95","14,716,270"
06/10/2024,"176.45","178.47","174.38","176.63","17,122,250"
06/11/2024,"177.72","178.39","175.44","178.19","14,402,400"
06/12/2024,"179.75","182.08","177.78","179.56","18,600,420"
06/13/2024,"177.84","178.51","176.66","176.74","15,956,940"
06/14/2024,"175.85","178.73","175.85","178.37","12,361,570"
06/17/2024,"176.98","179.92","176.49","178.78","15,272,860"
06/18/2024,"178.79","178.91","175.62","176.45","15,640,260"
06/20/2024,"176.71","178.74","176.46","177.71","16,753,170"
06/21/2024,"178.49","182.51","178.06","180.26","59,728,020"
06/24/2024,"181.28","182.08","180.23","180.79","18,198,279"
06/25/2024,"181.15","185.75","181.11","185.58","18,917,730"
06/26/2024,"184.20","185.93","183.99","185.37","13,375,720"
06/27/2024,"185.65","187.50","185.45","186.86","13,025,660"
06/28/2024,"185.72","186.58","183.33","183.42","23,032,359"
07/01/2024,"184.48","185.34","182.73","184.49","11,815,860"
07/02/2024,"183.47","186.95","183.06","186.61","12,555,550"
07/03/2024,"186.30","187.62","185.39","187.39","7,409,106"
07/05/2024,"187.32","192.26","187.32","191.96","14,303,360"
07/08/2024,"191.37","191.68","189.32","190.48","12,097,610"
07/09/2024,"191.75","192.86","190.23","190.44","10,224,930"
07/10/2024,"190.75","193.31","190.62","192.66","12,052,910"
07/11/2024,"191.34","192.41","186.82","187.30","16,451,980"
07/12/2024,"186.92","188.69","186.14","186.78","14,449,110"
07/15/2024,"186.49","189.90","186.49","188.19","12,186,020"
07/16/2024,"188.96","190.34","185.12","185.50","12,760,100"
07/17/2024,"184.68","185.23","181.62","182.62","17,376,561"
07/18/2024,"183.54","184.05","178.21","179.22","17,877,199"
07/19/2024,"180.37","181.97","178.86","179.39","14,485,900"
07/22/2024,"182.35","184.30","181.90","183.35","16,303,900"
07/23/2024,"183.84","185.22","183.33","183.60","23,772,600"
07/24/2024,"175.39","177.95","173.57","174.37","31,250,680"
07/25/2024,"174.25","175.20","169.05","169.16","28,967,881"
07/26/2024,"168.77","169.84","165.87","168.68","25,150,119"
07/29/2024,"170.50","172.16","169.72","171.13","13,768,930"
07/30/2024,"171.83","172.95","170.12","171.86","13,681,420"
07/31/2024,"174.92","175.91","171.72","173.15","15,650,150"
08/01/2024,"171.98","175.68","170.51","172.45","17,177,830"
08/02/2024,"168.19","170.21","166.39","168.40","18,907,770"
08/05/2024,"157.37","165.94","156.60","160.64","34,907,820"
08/06/2024,"160.95","162.35","158.13","160.54","36,146,539"
08/07/2024,"163.24","164.79","160.24","160.75","19,334,250"
08/08/2024,"162.34","165.50","162.03","163.84","15,733,610"
08/09/2024,"161.65","165.52","160.93","165.39","13,549,230"
08/12/2024,"166.00","166.70","163.55","163.95","12,434,970"
08/13/2024,"165.19","166.54","164.77","165.93","12,717,630"
08/14/2024,"164.21","164.96","159.53","162.03","22,515,900"
08/15/2024,"162.21","163.52","161.49","163.17","18,392,449"
08/16/2024,"163.41","166.95","163.08","164.74","16,853,141"
08/19/2024,"167.00","168.47","166.09","168.40","13,100,760"
08/20/2024,"168.74","170.41","168.66","168.96","12,622,520"
08/21/2024,"166.99","168.64","166.57","167.63","15,269,550"
08/22/2024,"169.04","169.42","165.03","165.49","19,123,779"
08/23/2024,"166.55","167.95","165.66","167.43","14,281,620"
08/26/2024,"168.16","169.38","166.32","167.93","11,990,310"
08/27/2024,"167.61","168.25","166.16","166.38","13,718,160"
08/28/2024,"166.78","167.39","163.28","164.50","15,208,740"
08/29/2024,"166.06","167.63","161.98","163.40","17,133,830"
08/30/2024,"164.22","165.28","163.41","165.11","18,498,779"
09/03/2024,"163.32","163.38","157.86","158.61","26,514,700"
09/04/2024,"158.08","160.40","157.44","157.81","17,410,650"
09/05/2024,"157.78","161.02","157.52","158.60","14,139,500"
09/06/2024,"158.69","159.22","151.94","152.13","24,999,061"
09/09/2024,"153.63","154.64","148.20","149.54","28,057,750"
09/10/2024,"151.45","152.30","149.54","150.01","20,401,770"
09/11/2024,"151.09","152.48","148.70","152.15","18,991,490"
09/12/2024,"154.81","155.61","153.50","155.54","21,024,061"
09/13/2024,"156.36","159.28","156.11","158.37","16,733,910"
09/16/2024,"158.33","159.24","157.61","158.99","14,157,610"
09/17/2024,"160.09","161.59","159.41","160.28","12,064,790"
09/18/2024,"160.85","161.63","159.66","160.81","16,756,449"
09/19/2024,"164.82","164.99","162.52","163.24","17,548,189"
09/20/2024,"164.52","164.75","163.18","164.64","46,362,672"
09/23/2024,"165.34","166.61","162.95","163.07","15,648,450"
09/24/2024,"164.25","164.55","162.03","163.64","18,774,061"
09/25/2024,"162.97","164.22","162.78","162.99","13,607,890"
09/26/2024,"165.03","165.50","163.50","163.83","18,234,500"
09/27/2024,"163.91","166.97","163.83","165.29","13,604,260"
09/30/2024,"164.78","167.36","164.64","167.19","14,083,450"
10/01/2024,"168.86","170.44","165.90","168.42","18,629,510"
10/02/2024,"167.76","168.88","166.25","167.31","12,744,980"
10/03/2024,"165.82","167.91","165.37","167.21","11,004,330"
10/04/2024,"169.34","169.55","166.96","168.56","11,435,320"
10/07/2024,"169.14","169.90","164.13","164.39","14,034,720"
10/08/2024,"165.43","166.10","164.31","165.70","11,723,890"
10/09/2024,"164.86","166.26","161.12","163.06","19,666,410"
10/10/2024,"162.11","164.31","161.64","163.18","12,900,490"
10/11/2024,"163.33","165.27","162.50","164.52","10,945,970"
10/14/2024,"164.91","167.62","164.78","166.35","9,981,765"
10/15/2024,"167.14","169.09","166.05","166.90","14,829,340"
10/16/2024,"166.03","167.28","165.22","166.74","9,968,474"
10/17/2024,"167.38","167.93","164.37","164.51","15,113,360"
10/18/2024,"164.87","166.37","164.75","165.05","13,091,270"
10/21/2024,"164.58","166.22","164.31","165.80","11,384,050"
10/22/2024,"164.70","167.47","164.67","166.82","11,958,620"
10/23/2024,"166.43","167.60","163.63","164.48","12,754,280"
10/24/2024,"164.59","165.05","162.77","164.53","12,764,430"
10/25/2024,"165.37","167.40","165.23","166.99","14,566,410"
10/28/2024,"170.59","170.61","165.79","168.34","20,858,250"
10/29/2024,"169.39","171.86","168.66","171.14","28,916,109"
10/30/2024,"182.41","183.79","175.75","176.14","49,698,312"
10/31/2024,"174.72","178.42","172.56","172.69","32,801,898"
11/01/2024,"171.54","173.82","170.31","172.65","21,752,859"
11/04/2024,"171.24","171.92","169.49","170.68","16,193,990"
11/05/2024,"170.83","172.10","170.37","171.41","12,518,280"
11/06/2024,"175.35","178.64","175.04","178.33","27,061,510"
11/07/2024,"179.11","182.58","178.89","182.28","16,730,410"
11/08/2024,"182.00","182.35","179.57","179.86","15,021,550"
11/11/2024,"180.07","182.09","179.99","181.97","12,503,420"
11/12/2024,"181.38","184.03","180.99","183.32","14,065,850"
11/13/2024,"182.15","182.62","180.12","180.49","13,969,710"
11/14/2024,"179.75","180.45","176.03","177.35","17,925,760"
11/15/2024,"175.64","175.88","172.75","173.89","21,708,869"
11/18/2024,"174.96","176.91","174.42","176.80","18,725,420"
11/19/2024,"175.24","180.17","175.12","179.58","15,392,870"
11/20/2024,"178.83","179.11","175.33","177.33","15,729,810"
11/21/2024,"175.46","175.58","165.31","169.24","38,839,434"
11/22/2024,"167.16","168.26","165.71","166.57","24,497,039"
11/25/2024,"167.99","170.46","167.40","169.43","21,395,650"
11/26/2024,"169.49","171.50","169.43","170.62","14,937,480"
11/27/2024,"170.68","171.14","169.67","170.82","12,433,370"
11/29/2024,"170.06","170.87","168.75","170.49","9,250,712"
12/02/2024,"170.32","173.60","170.27","172.98","16,593,439"
12/03/2024,"173.12","174.32","172.51","173.02","15,721,480"
12/04/2024,"172.78","176.43","172.75","176.09","18,239,840"
12/05/2024,"177.32","177.71","174.01","174.31","16,145,520"
12/06/2024,"173.88","176.84","173.55","176.49","13,319,550"
12/09/2024,"175.72","178.04","175.40","177.10","19,887,789"
12/10/2024,"184.54","188.03","182.67","186.53","34,317,441"
12/11/2024,"186.70","196.89","186.26","196.71","41,664,488"
12/12/2024,"196.30","196.71","193.28","193.63","25,197,760"
12/13/2024,"192.71","194.34","191.26","191.38","18,883,221"
